country,immigrants,population
af,1011,20595360
al,4755,3089027
ag,906,31719449
aq,7,57522
ao,87,13924930
av,25,NaN
ac,429,77648
ar,2317,36903067
am,1253,3076098
aa,25,90858
as,2044,19153000
au,405,8011566
aj,1036,8048600
bf,766,297759
ba,106,668239
bg,7204,132383265
bb,777,267190
bo,2170,10005000
be,670,10251250
bh,757,238586
bn,62,6949366
bd,71,61833
bt,0,564350
bl,1761,8495271
bk,11525,3834364
bc,13,1755375
br,6943,174504898
vi,67,108639
bx,16,331801
bu,4917,8170172
uv,48,11607944
bm,1201,NaN
by,28,6674286
cb,2138,12222871
cm,860,15927713
ca,16057,30769700
cv,1079,442426
cj,31,41685
ct,4,3638316
cd,23,8301151
ci,1700,15454402
ch,45585,1262645000
co,14427,39897984
cs,1310,3929588
iv,439,16131332
hr,1058,4426000
cu,18960,11138416
cy,160,943287
ez,244,10255063
cg,123,3126204
da,537,5339616
dj,14,722887
do,95,69679
dr,17465,8663421
ec,7651,12533087
eg,4450,66136590
en,22543,5958794
en,239,518179
ek,5,3939348
er,382,1396985
et,4053,66024199
fj,1483,811647
fi,377,5176209
fr,3442,60911057
fg,13,NaN
fp,13,237267
gb,18,1225527
ga,231,1228863
gg,493,4418300
gm,7565,82211508
fh,4339,18825034
gr,950,10917482
gj,655,101620
gp,51,NaN
gt,9942,11204183
gv,3,8746128
pu,204,1273312
gy,5719,744471
ha,22337,8578234
ho,5917,6235561
hk,5407,6665000
hu,1023,10210971
ic,129,281205
in,41903,1042261758
id,1767,208938698
ir,8487,65911052
iz,5087,23801156
ei,1296,3805174
is,2783,6289000
it,2448,56942108
jm,15949,2589389
jn,7049,126870000
jo,3900,4797000
kz,1493,14883626
ke,2197,31285050
kr,3,82788
ks,15721,47008111
kv,1,NaN
ku,1015,1906231
kg,388,4898400
lo,1358,5388281
lo,549,5388720
lg,548,2367550
le,3662,3235380
lt,9,1856225
li,1570,2891968
ly,180,5176185
lh,1349,3499536
lu,26,436300
mc,270,431907
mk,790,2052129
ma,33,15744811
mi,61,11321496
my,1551,23420751
mv,0,272745
ml,109,10260577
mt,54,381363
rm,3,52161
mb,20,NaN
mr,88,2708095
mp,54,1186873
mx,173493,103873607
fm,5,107430
mn,12,32081
mg,46,2397473
mj,1,NaN
mh,70,NaN
mo,3614,28710123
mz,41,18275618
wa,30,1897953
np,616,23184177
nl,1337,15925513
nt,53,NaN
nc,3,213230
nz,964,3857700
nu,20947,5100920
ng,30,10989815
ni,7831,122876727
no,459,4490967
mu,51,2192535
pk,14504,143832014
ps,3,19174
pm,1829,3054812
pp,21,5379226
pa,338,5350253
pe,9579,26000080
rp,42343,77651848
pl,10090,38258629
po,1343,10289898
qa,97,593693
cf,189,NaN
md,1251,3639592
ro,6863,22442971
rs,16940,146596870
rw,73,8395577
sc,500,45544
st,599,156949
vc,497,107897
ws,184,174614
tp,8,139428
sa,1063,20144584
sq,554,9861679
ri,1,7516346
ri,2742,611196
se,18,81131
sl,1585,4139757
sn,668,4027900
si,76,1988925
bp,7,412336
so,2393,7385416
sf,2824,44000000
od,1,6652984
sp,1254,40263216
ce,1118,19102000
su,1531,27729798
ns,256,466668
wz,12,1063715
sw,1264,8872109
sz,1029,7184250
sy,2367,16371208
tw,9019,NaN
ti,156,6186152
tz,480,34020512
th,3753,62343379
to,386,4864753
tn,349,97962
td,6635,1267980
ts,307,9563500
tu,2606,63174483
tx,97,4501419
tk,46,18876
ug,418,24275641
up,15511,49175848
ae,435,3026352
uk,13273,58892514
us,35,282162411
uy,426,3320841
uz,1631,24650400
ve,4693,24407553
vm,26553,77630900
ym,1789,17522537
za,211,10100981
zi,322,12503652
ja,7049,NaN
gl,537,NaN
gh,4339,NaN
sg,554,NaN
la,1358,NaN
